,title,genres
140816,Tangerine (2015),Comedy|Drama
131724,The Jinx: The Life and Deaths of Robert Durst (2015),Documentary
82143,Alone in the Wilderness (2004),Documentary
4741,Together (Tillsammans) (2000),Comedy|Drama|Romance
96857,Red Lights (2012),Drama|Mystery|Thriller
7137,"Cooler, The (2003)",Comedy|Drama|Romance
89085,"Debt, The (2011)",Drama|Thriller
3952,"Contender, The (2000)",Drama|Thriller
183897,Isle of Dogs (2018),Animation|Comedy
156387,Sing Street (2016),Drama
110586,Calvary (2014),Comedy|Drama
92535,Louis C.K.: Live at the Beacon Theater (2011),Comedy
138702,Feast (2014),Animation|Children|Comedy|Drama|Romance
141866,Green Room (2015),(no genres listed)
128606,45 Years (2015),Drama
5294,Frailty (2001),Crime|Drama|Thriller
104069,Louis C.K.: Oh My God (2013),Comedy
128620,Victoria (2015),Crime|Drama|Romance
95377,One Man Band (2005),Animation|Comedy|Musical
86504,Voices from the List (2004),Documentary
86142,13 Assassins (Jûsan-nin no shikaku) (2010),Action
155078,Lo chiamavano Jeeg Robot (2016),Fantasy
90528,This Must Be the Place (2011),Crime|Drama|Thriller
71131,"Most Hated Family in America, The (2007)",Documentary
114635,"Look of Silence, The (2014)",Documentary
96488,Searching for Sugar Man (2012),Documentary
6596,"Divorce, Le (2003)",Comedy|Drama|Romance
90578,Dream House (2011),Drama|Mystery|Thriller
49314,Harsh Times (2006),Action|Crime|Drama
59709,"Oxford Murders, The (2007)",Crime|Mystery|Romance|Thriller
95311,Presto (2008),Animation|Children|Comedy|Fantasy
57504,"Girl Who Leapt Through Time, The (Toki o kakeru shôjo) (2006)",Animation|Comedy|Drama|Romance|Sci-Fi
58303,"Counterfeiters, The (Die Fälscher) (2007)",Crime|Drama|War
58898,"Aerial, The (La antena) (2007)",Adventure|Fantasy|Film-Noir|Mystery|Sci-Fi
159817,Planet Earth (2006),Documentary
70728,Bronson (2009),Action|Comedy|Drama|Thriller
95858,For the Birds (2000),Animation|Children|Comedy
173369,You Were Never Really Here (2017),Drama
166024,Whiplash (2013),(no genres listed)
179135,Blue Planet II (2017),Documentary
158966,Captain Fantastic (2016),Drama
173925,Seven Sisters (2017),Sci-Fi|Thriller
159061,The Wailing (2016),Mystery|Thriller
102753,"Past, The (Le passé) (2013)",Drama|Mystery|Romance
27721,"Very Long Engagement, A (Un long dimanche de fiançailles) (2004)",Drama|Mystery|Romance|War
44709,Akeelah and the Bee (2006),Drama
110501,The Raid 2: Berandal (2014),Action|Crime|Thriller
86347,Louis C.K.: Chewed Up (2008),Comedy
71579,"Education, An (2009)",Drama|Romance
58301,Funny Games U.S. (2007),Drama|Thriller
7371,Dogville (2003),Drama|Mystery|Thriller
177765,Coco (2017),Adventure|Animation|Children
83803,Day & Night (2010),Animation|Children
130452,While We're Young (2014),Comedy|Drama
111235,Jodorowsky's Dune (2013),Documentary|Sci-Fi
86377,Louis C.K.: Shameless (2007),Comedy
163134,Your Name. (2016),Animation|Drama|Fantasy|Romance
117867,'71 (2014),Action|Drama|Thriller|War
86345,Louis C.K.: Hilarious (2010),Comedy
127108,Brooklyn (2015),Drama|Romance
74916,Greenberg (2010),Comedy|Drama
71211,"Informant!, The (2009)",Comedy|Crime|Drama|Thriller
5890,Elling (2001),Comedy|Drama
4251,Chopper (2000),Drama|Thriller
55872,August Rush (2007),Drama|Musical
58347,Penelope (2006),Comedy|Fantasy|Romance
30803,3-Iron (Bin-jip) (2004),Drama|Romance
136449,Ghost in the Shell 2.0 (2008),Action|Animation|Sci-Fi
90430,Carnage (2011),Comedy|Drama
55814,"Diving Bell and the Butterfly, The (Scaphandre et le papillon, Le) (2007)",Drama
6283,Cowboy Bebop: The Movie (Cowboy Bebop: Tengoku no Tobira) (2001),Action|Animation|Sci-Fi|Thriller
5618,Spirited Away (Sen to Chihiro no kamikakushi) (2001),Adventure|Animation|Fantasy
140174,Room (2015),Drama
104944,Short Term 12 (2013),Drama
5380,"Importance of Being Earnest, The (2002)",Comedy|Drama|Romance
52952,This Is England (2006),Drama
8914,Primer (2004),Drama|Sci-Fi
4226,Memento (2000),Mystery|Thriller
49772,"Painted Veil, The (2006)",Drama|Romance
67801,Revanche (2008),Crime|Drama|Romance
81641,Fair Game (2010),Drama|Thriller
27266,2046 (2004),Drama|Fantasy|Romance|Sci-Fi
56286,I'm Not There (2007),Drama
109243,Joe (2013),Drama
112940,A Most Wanted Man (2014),Thriller
6773,"Triplets of Belleville, The (Les triplettes de Belleville) (2003)",Animation|Comedy|Fantasy
5673,Punch-Drunk Love (2002),Comedy|Drama|Romance
3598,Hamlet (2000),Crime|Drama|Romance|Thriller
52042,Black Book (Zwartboek) (2006),Drama|Thriller|War
47894,"Wind That Shakes the Barley, The (2006)",Drama|War
4152,Vatel (2000),Drama
142488,Spotlight (2015),Thriller
143367,Silence (2016),Drama|Thriller
96829,"Hunt, The (Jagten) (2012)",Drama
105197,Nebraska (2013),Adventure|Drama
27397,Joint Security Area (Gongdong gyeongbi guyeok JSA) (2000),Crime|Drama|Mystery|Thriller|War
177593,"Three Billboards Outside Ebbing, Missouri (2017)",Crime|Drama
97866,"Imposter, The (2012)",Documentary
95313,Jack-Jack Attack (2005),Adventure|Animation|Children|Comedy
133802,Slow West (2015),Action|Thriller|Western
74545,"Ghost Writer, The (2010)",Drama|Mystery|Thriller
106766,Inside Llewyn Davis (2013),Drama
3896,"Way of the Gun, The (2000)",Crime|Thriller
77837,You Don't Know Jack (2010),Drama
108983,La Luna (2011),Animation
116897,Wild Tales (2014),Comedy|Drama|Thriller
7361,Eternal Sunshine of the Spotless Mind (2004),Drama|Romance|Sci-Fi
924,2001: A Space Odyssey (1968),Adventure|Drama|Sci-Fi
7773,"Bang, Bang, You're Dead (2002)",Drama
33725,It's All Gone Pete Tong (2004),Comedy|Drama|Musical
27416,Jalla! Jalla! (2000),Comedy|Drama|Romance
4380,"Princess and the Warrior, The (Krieger und die Kaiserin, Der) (2000)",Drama|Romance
7827,Cypher (2002),Action|Sci-Fi|Thriller
7155,Calendar Girls (2003),Comedy
79008,South Park: Imaginationland (2008),Animation|Comedy|Fantasy
103235,"Best Offer, The (Migliore offerta, La) (2013)",Thriller
4866,"Last Castle, The (2001)",Action
44555,"Lives of Others, The (Das leben der Anderen) (2006)",Drama|Romance|Thriller
99917,Upstream Color (2013),Romance|Sci-Fi|Thriller
152970,Hunt for the Wilderpeople (2016),Adventure|Comedy
4011,Snatch (2000),Comedy|Crime|Thriller
165549,Manchester by the Sea (2016),Drama
64575,Doubt (2008),Drama|Mystery
139644,Sicario (2015),Crime|Drama|Mystery
174909,Logan Lucky (2017),Comedy
80969,Never Let Me Go (2010),Drama|Romance|Sci-Fi
110110,Starred Up (2013),Drama
93721,Jiro Dreams of Sushi (2011),Documentary
4642,Hedwig and the Angry Inch (2000),Comedy|Drama|Musical
41285,Match Point (2005),Crime|Drama|Romance
72171,Black Dynamite (2009),Action|Comedy
64197,Hunger (2008),Drama
55442,Persepolis (2007),Animation|Drama
6003,Confessions of a Dangerous Mind (2002),Comedy|Crime|Drama|Thriller
134853,Inside Out (2015),Adventure|Animation|Children|Comedy|Drama|Fantasy
31658,Howl's Moving Castle (Hauru no ugoku shiro) (2004),Adventure|Animation|Fantasy|Romance
87304,Beginners (2010),Drama
37857,MirrorMask (2005),Adventure|Children|Drama|Fantasy
31660,Steamboy (Suchîmubôi) (2004),Action|Animation|Drama|Sci-Fi
74458,Shutter Island (2010),Drama|Mystery|Thriller
54259,Stardust (2007),Adventure|Comedy|Fantasy|Romance
148626,"Big Short, The (2015)",Drama
6874,Kill Bill: Vol. 1 (2003),Action|Crime|Thriller
163985,ARQ (2016),Sci-Fi|Thriller
68237,Moon (2009),Drama|Mystery|Sci-Fi|Thriller
117881,Still Alice (2014),Drama
34542,Grizzly Man (2005),Documentary
64993,5 Centimeters per Second (Byôsoku 5 senchimêtoru) (2007),Animation|Drama|Romance
67997,In the Loop (2009),Comedy
72356,Partly Cloudy (2009),Animation|Children|Comedy|Fantasy
60766,Man on Wire (2008),Documentary
44761,Brick (2005),Crime|Drama|Film-Noir|Mystery
171763,Baby Driver (2017),Action|Crime|Thriller
85312,"House of Small Cubes, The (Tsumiki no ie) (2008)",Animation|Drama
67508,"Baader Meinhof Komplex, Der (2008)",Action|Crime|Drama|Thriller
65142,Loft (2008),Crime|Drama|Mystery
4973,"Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)",Comedy|Romance
99114,Django Unchained (2012),Action|Drama|Western
68157,Inglourious Basterds (2009),Action|Drama|War
52579,"Vie en Rose, La (Môme, La) (2007)",Drama|Musical
161582,Hell or High Water (2016),Crime|Drama
106452,Ida (2013),Drama
172009,Loveless (2017),Drama
55820,No Country for Old Men (2007),Crime|Drama
53129,Mr. Brooks (2007),Crime|Drama|Thriller
67267,Sunshine Cleaning (2008),Comedy|Drama
